Job Title,Description,District,Work Mode
ANALISTA PROGRAMADOR .NET/SQLSERVER,"En iQ Project, empresa apasionada por la tecnología, nos encontramos en la búsqueda del mejor talento para la posición de ANALISTA PROGRAMADOR .NET/SQLSERVER que comparta nuestra pasión y esté listo para asumir nuevos retos. REQUISITOS: Experiencia en: Desarrollo de aplicaciones Web en .Net Desarrollo de WebServices en .Net SQL , DTS y Reporting services Aplicaciones en Cloud (MS Azure) Uso del GitHub. Trabajo con metodologías ágiles. Deseable experiencia en: Sector bancario. Desarrollo de microservicios. Programación en Java. Angular. Ingreso a planilla con todos los beneficios de ley Modalidad híbrida",Lima,Híbrido
Programador Electrico,"Requisitos: Disponibilidad para laborar en diferentes proyectos dentro de Lima. Diseñar, desarrollar y optimizar programas de control (PLC) y regularizar la maquinaria que se considera pertinente. Conocimientos en mantenimiento y conexión de tableros eléctricos. Elaboración de tableros de fuerza y control utilizando AutoCAD y EPLAN. Corregir errores de programación. Detectar posibles problemas eléctricos. Programación de variadores de frecuencia y arrancadores suaves Técnico o egresado en Electricidad, Electrónica, Electrotecnia, Mecatrónica,Automatización Industrial o carreras afines. Ofrecemos: Ingreso a planilla desde el primer día con todos los beneficios de ley. Estabilidad laboral y buen clima de trabajo. Oportunidad de desarrollo profesional en una empresa sólida.",Lima,Presencial
Java Developer - Senior,"Actualmente nos encontramos en búsqueda de 02 Desarrolladores Backend Java Senior para que se integren a nuestro equipo. Profesional en Ingeniería de Sistemas, Computación, Informática o carreras afines. Experiencia mínima de 6 años en desarrollo con entorno Java Conocimientos sólidos en Java (Genéricos, excepciones, JDBC, networking) Experiencia con programación reactiva (RxJava, Webflux) Desarrollo de APIs REST y SOAP (JSON, XML, Swagger, OpenAPI) Diseño de APIs serverless y trabajo con Azure Functions Conocimientos en Azure (CosmosDB, Blob Storage, Data Lakes) Disponibilidad para trabajar en modalidad híbrida en el distrito Chorrillos Beneficios Incorporación a planilla con todos los beneficios de ley Capacitaciones generales y específicas de acuerdo a tu especialidad Plataforma Educati",Chorrillos,Híbrido
Senior React Developer,"Información Importante Ubicación del cliente: Lima, Perú Modalidad de trabajo: Híbrido (2 veces por semana en oficina) Resumen del puesto Como un Senior React Developer (17657), formarás parte de un equipo tecnológico y ágil altamente calificado por respaldar y desarrollar soluciones de vanguardia para cumplir con los requisitos de nuestro negocio. Nos ayudará a acelerar los resultados empresariales de nuestros clientes mediante la innovación de productos digitales de vanguardia. Responsabilidades y Funciones Desarrollar y mantener aplicaciones frontend escalables utilizando ReactJS con TypeScript, asegurando integración eficiente con APIs REST y un manejo óptimo del estado global (Redux, Context API, Zustand o React Query). Garantizar una experiencia de usuario de alto nivel aplicando pri",Magdalena del Mar,Híbrido
Desarrollador Backend Semi-Senior,"Métrica Perú es la primera filial latinoamericana del grupo de consultoría español Métrica Consulting. El grupo comenzó operaciones con el inicio del nuevo siglo y desde entonces ha participado en distintos proyectos en distintos países de Europa Occidental y Latino América. Con Métrica Perú, hemos comenzado a ofrecer nuestros servicios técnicos en el mercado Peruano y desde ahí queremos llegar a la región andina en los próximos años. Por encargo de nuestro cliente nos encontramos en la búsqueda de un Desarrollador Backend Requisitos: +3 años de experiencia en desarrollo de software. 24+ con TypeScript.Runtime:📷 Framework:📷 Bases de datos: MongoDB en AWS. y Custom.Autenticación: JWT,📷 Testing: Jest (Unit test) + Supertest. ORM: Mongoose (MongoDB). Containerización: Docker. Deploy: AWS EKS.",Lima,Remoto
Desarrollador/ Líder Técnico,"En Protiviti Perú buscamos un Desarrollador de Software con experiencia liderando equipos y que quiera dar el salto profesional como Lider Tecnico para uno de nuestros clientes del sector de telecomunicaciones. Principales funciones: Liderar al equipo técnico en el desarrollo de soluciones digitales. Diseñar y supervisar arquitecturas sostenibles y escalables. Gestionar la implementación de microservicios e integración de sistemas. Colaborar con equipos de negocio, arquitectura y producto. Requisitos: Bachiller o egresado en Ingeniería de Sistemas, Informática o afines. Conocimientos en: Python, Angular, JavaScript, Docker, APIs REST, pruebas automatizadas. Experiencia en diseño de arquitecturas escalables y microservicios. Ofrecemos: Proyecto de 3 meses (Renovable) Presencial 100% en Sta ",La Victoria,Presencial
Desarrollador de integración OSB,"¡Sé parte de Stefanini!​ En Stefanini somos más de 30.000 genios, conectados desde 41 países, haciendo lo que les apasiona y co-creando un futuro mejor.​ Responsabilidades y atribuciones: Objetivo del rol: Incorporar un profesional con experiencia en integración de servicios y APIs en entornos Cloud, para apoyar proyectos de modernización, despliegue de aplicaciones y gobierno de APIs. Responsabilidades principales Diseñar, exponer y consumir APIs seguras y escalables. Implementar soluciones de integración en entornos cloud y on-premise. Administrar el ciclo de vida de APIs usando API Management y API Connect. Configurar y optimizar clusters en AKS para despliegue de servicios. Mantener y evolucionar integraciones en Oracle Service Bus. Colaborar con equipos de desarrollo, arquitectura y o",Lima,Remoto
Desarrollador Java Senior (Azure) - Temporal,"More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Desarrollador Java Senior (Azure) - Temporal con ganas de trabajar en nuestros equipos multidisciplinares. ¿Cuál es el reto que te proponemos? Estarás en contacto continuo con las novedades tecnológicas, impulsando la transformación digital. Participarás en proyectos y desarrollos que tienen una alta visibilidad y que marcan la diferencia con soluciones disruptivas y especializadas para toda la cadena de valor. ¿Qué esperamos por tu parte? Ingeniería de sistemas, informática, Industrial o afines. Contar con mínimo 4 a 5 años de experiencia en: Core: Conceptos:",Lima,Híbrido
Analista Desarrollador Java - Sector Administración de Fondos Colectivos,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Analista Desarrollador Java en el rubro Administración de Fondos Colectivos. Analista Desarrollador Java – Administración de Fondos Colectivos Requisitos para postular al cargo: Técnico/Bachiller o Egresado en la carrera de ingeniería de sistemas o afines Conocimiento de Html, Java Script, Jquery, Css, IDE Netbeans, Bootstrap - Indispensable VisualStudio - Deseable Idioma Inglés a nivel básico 2 años de experiencia en Oracle PL/SQL(indispensable) 3 años de experiencia en Java(JSP). Trabajo presencial 100% Lunes a viernes: 8:30 a.m. a 6:00pm - Sábado: 8:30 a 1:00pm Funciones principales del puesto: Levantami",La Victoria,Presencial
Desarrollador Full Stack / Surco / Presencial,"En Well Human Resources, estamos en la búsqueda de un/a Desarrollador/a Web Full Stack, con enfoque en backend, para una importante empresa con operaciones en los sectores de servicios y marketing digital. Requisitos: Estudios Universitarios culminado relacionados al puesto. Experiencia de 2 años en desarrollo web Full Stack, con mayor dominio en backend. Manejo de herramientas para integración de APIs (Postman). Conocimientos o experiencia previa integrando plataformas como: Salesforce (SFC), Active Prospect, HubSpot (O herramientas similares de automatización y gestión de leads) Conocimientos en WordPress para ajustes en sitios web o landing pages. Deseable: Nivel intermedio de inglés (lectura técnica). Capacidad para trabajar de forma autónoma y en equipos multidisciplinarios. Funciones",Santiago de Surco,Presencial
