Job Title,Description,District,Work Mode
Analista Programador JAVA,"💡 DÉJANOS CONTARTE LO QUE NOS HACE GENUINE 💙 Buscamos profesionales que quieran reinventarse cada día 🔄, que lleven los retos en el ADN 🧬 y que sientan una pasión genuina por la tecnología 💻✨. Eso es lo que nos hace únicos, auténticos y diferentes 🚀. ¿QUÉ ESTAMOS BUSCANDO? Estamos en la búsqueda de un Desarrollador Java especializado en el sector financiero para desarrollar y mantener aplicaciones críticas bancarias. Funciones: Desarrollar microservicios en Java 8/11/17/21 con Spring Framework y Spring Boot Implementar integraciones con proveedores SaaS mediante APIs RESTful y buenas prácticas Diseñar arquitecturas siguiendo patrones DDD, TDD y Arquitectura Hexagonal Gestionar APIs utilizando Apigee y buses de servicio como Jboss Fuse Aplicar desarrollo seguro con SonarQube, OAuth2.0 y cic",Lima,Híbrido
Analista Programador .NET | Visual Basic,"DÉJANOS CONTARTE LO QUE NOS HACE GENUINE Buscamos profesionales que quieran reinventarse cada día, que enfrentarse a los retos vaya en su ADN y que sientan pasión por trabajar con la tecnología. Esto nos hace únicos, diferentes y auténticos. ¿QUÉ ESTAMOS BUSCANDO? Buscamos un Analista programador con sólidos conocimientos en tecnologías .NET, bases de datos y metodologías ágiles, con capacidad para trabajar en proyectos críticos del sector financiero. Funciones: Desarrollar aplicaciones .NET Core (2.0, 3.1, 5, 6) y Visual Basic para sistemas bancarios Diseñar y optimizar bases de datos Oracle/SQL Server y paquetes SSIS Implementar automatización de procesos con Control-M y scripting (PowerShell/Bash) Desarrollar interfaces web con HTML, CSS, JavaScript y frameworks modernos Gestionar contr",Lima,Híbrido
Analista Desarrollador Java,"En Experis Perú, nos encontramos en la búsqueda del mejor talento para sumarse a los desafíos de la transformación digital para importante empresa dedicada a la Administración de Fondos Colectivos. Por ello, te invitamos a formar parte del reto como: Analista Desarrollador Java Requisitos para el puesto: Experiencia mínima 2 años en Oracle PL/SQL(indispensable) Experiencia 3 años en Java(JSP). Conocimiento de Html, Java Script, Jquery, Css, IDE Netbeans, Bootstrap - Indispensable VisualStudio - Deseable Funciones: Levantamiento de requerimientos documentada. Convertir las necesidades del negocio en productos de software. Implementar soluciones tecnológicas, aplicando las buenas prácticas en análisis, diseño y desarrollo de software. Gestionar los requerimientos asignados por el Jefe de Sis",La Victoria,Presencial
Desarrollador Backend NodeJS / AWS,"Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos un Desarrolladores Backend NodeJS / AWS con ganas de trabajar en nuestros equipos multidisciplinares. Requisitos: Experiencia minima de 3 años a más como Backend. Experiencia minima de 3 años en Nodejs. Experiencia minima de 2 años en AWS con Lambda, CloudWatch, API Gateway, etc. Conocimiento y experiencia en TypeScript. Conocimiento y experiencia en Serverless. Condiciones de trabajo: Modalidad Híbrida (3 veces por semana en oficinas) en el distrito de San Isidro. Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm. Beneficios: Planilla Completa desde el 1er día de trabajo. Cobertura al 100% d",San Isidro,Híbrido
ANALISTA DE PROGRAMADOR,"¡Buscamos un Analista Programador innovador y resolutivo! Si disfrutas transformar ideas en soluciones tecnológicas eficientes, crear aplicaciones robustas y garantizar que cada sistema funcione de manera óptima, esta es tu oportunidad. Únete a nuestro equipo para diseñar, desarrollar y mantener plataformas digitales que impacten directamente en la experiencia de nuestros usuarios y en la modernización de nuestra institución. Tu talento será clave para integrar front end y back end, optimizar procesos mediante automatización y aportar mejoras constantes que eleven el rendimiento de nuestros sistemas. ¡Sé parte del motor tecnológico que impulsa nuestro crecimiento! Responsabilidades: Analizar información para la toma de decisiones oportunas y el desarrollo de estrategias comerciales que gen",Jesús María,Presencial
Desarrollador Full Stack (Java / AWS / React Native),"SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición Desarrollador FullStack (Java / AWS / React Native) Requisitos: Requisitos: Bachiller o Titulado en Ingeniería de Sistemas, Informática, Software, Ciencias de la Computación o carreras afines. Experiencia mínima de 4 años en posiciones similares. Experiencia en desarrollo de microservicios en Java con Quarkus. Diseño e implementación d",Cercado De Lima,Híbrido
Programador BMS,"More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. ¿Qué esperamos por tu parte? Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) Deseable: Programación en otros SCADA/BMS. Experiencia con redes TCP/IP. Funcione",Lima,Presencial
Desarrollador FullStack (Lenguaje Go y React Native),"SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición Desarrollador FullStak (Lenguaje Go y React Native) Requisitos: Bachiller/Título en Ingeniería en Sistemas, Informática, Software, Ciencias de la Computación o afines (Indispensable). Experiencia mínima de 3 años en posiciones similares (Indispensable). Experiencia en dominio del lenguaje Go, Modules (go.mod, go.sum), REACT Native-Expo",Lima,Híbrido
Desarrollador Mobile React Native,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros. Nos encontramos en búsqueda de un talento para el cargo de un Desarrollador Mobile React Native para colaborar en modalidad híbrida con uno de nuestros clientes del sector bancario para un proyecto de 3 meses con el siguiente perfil: Requisitos Formación Universitaria culminada en Ingeniería de Sistemas, Software, Computación e Informática o carreras afines. 3 a 5 años de experiencia desarrollando aplicaciones móviles con React Native CLI. Conocimiento y aplicación de Arquitectura Limpia en proyectos móviles. Experiencia en despliegue de aplicaciones a tiendas oficiales (Google Play / App Store) y tiend",San Isidro,Híbrido
Desarrollador FrontEnd Senior,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros. Nos encontramos en búsqueda de un talento Desarrollador Frontend Senior para colaborar en modalidad híbrida con nuestro cliente del sector bancario en un proyecto de 3 meses con posibilidad de extensión. Requisitos: +4 años de experiencia en desarrollo Front End. Experiencia sólida en Java + Angular 18 o 19. Manejo y creación de componentes (conocimiento en Storybook es un plus). Dominio de SASS. Desarrollo de Single Page Applications (SPA). Conocimiento en microfrontends. Aplicación de arquitectura limpia en proyectos. Uso avanzado de RxJS. Beneficios: Capacitación AWS Descuentos corporativos Actividad",San Isidro,Híbrido
Desarrollador .NET Senior,"Somos Fractal Soluciones TI, una empresa peruana de consultoría en Gestión de Tecnología de la Información con más de 11 años en el mercado y con más de 70 clientes que confían en nosotros. Nos encontramos en búsqueda de un talento para el cargo de Desarrollador .NET Senior para colaborar en modalidad remota en un proyecto de periodo inicial de 3 meses con uno de nuestros clientes del sector bancario. Requisitos: Bachiller universitario en Ingeniería Informática o afines 3-5 años de experiencia como desarrollador Dominio Avanzado .NET Dominio Avanzado en bases de dato SQL Sólidos conocimientos en inteligencia de negocio (BI) Beneficios Capacitación AWS Descuentos corporativos Actividades de bienestar y más... Conócenos en: https://www.fractal.com.pe/ ¡Somos experiencia, somos tecnología, s",Lima,Remoto
Programador,"Estamos en búsqueda de un Programador Full Stack para integrarse a nuestro equipo y participar en uno de nuestros próximos proyectos. Lo que buscamos de ti Principales responsabilidades: Implementar interfaces dinámicas y atractivas con JavaScript e integraciones con APIs REST. Construir y mantener el backend con Node.js y Express, incluyendo el manejo de colas y servicios en tiempo real mediante WebSockets. Diseñar, optimizar y mantener SQL Server, con experiencia en consultas complejas, triggers y stored procedures. Resolver problemas críticos en los procesos de despliegue y compilación para entornos web Mejorar el rendimiento de las aplicaciones mediante la optimización de consultas SQL de alta complejidad. Formación y experiencia Egresado de Ingeniería de Sistemas, Computación o afines",Miraflores,Presencial
Programador Full Stack c/ exp en IA,"En Valtx, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un Programador Full Stack Desarrollar aplicaciones web y mobiles que cumplan buenas practicas de programación y desarrollo seguro (Indispensable) Elaborar documentación técnica resultante de la implementación de requerimientos Especificar, diseñar y mantener mecanismos para almacenar y acceder a datos. Garantizar la integración y despliegue continuo de los requerimientos implementa",San Borja,Presencial
Programador BMS - Automizador,"More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. ¿Qué esperamos por tu parte? Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) Deseable: Programación en otros SCADA/BMS. Experiencia con redes TCP/IP. Funcione",Lima,Presencial
Programador BMS,"More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. ¿Qué esperamos por tu parte? Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCADA Operation) EBO (EcoStruxure Building Operation) Deseable: Programación en otros SCADA/BMS. Experiencia con redes TCP/IP. Funcione",Lima,Presencial
Analista Programador / Sector Educativo,"En inLearning Escuelas de Educación superior, plataforma educativa del grupo Intercorp, conformada por Idat, Zegel, la Escuela de Arte Corriente Alterna e Innova Teaching School, empresas que promueven la equidad de género, igualdad e inclusión, nos encontramos en la búsqueda de un(a) Analista Programador Jr. Propósito: Analizar, desarrollar y brindar soporte informático para el sistema educativo de la empresa. Funciones: Análisis y desarrollo de nuevos requerimientos del ERP Académico. Mantenimiento y soporte de requerimientos y errores del ERP Académico. Realizar consultas y actualización de los registros de base de datos de las aplicaciones. Atender y orientar a los usuarios en el manejo del ERP Académico. Seguimiento, acompañamiento y validación de pases a producción. Realizar otras fu",Cercado De Lima,Híbrido
Programador BMS,"Indra es una compañía global de consultoría y tecnología, con presencia en los 5 continentes y más de 40.000 profesionales. Trabajarás en un entorno de soluciones y servicios innovadores para nuestros clientes en los principales sectores de actividad, aportándoles valor añadido. Participarás de la transformación de los negocios trabajando con profesionales de referencia. Buscamos Programador BMS con ganas de trabajar en nuestros equipos multidisciplinares. Requisitos: Experiencia mínima de 2 años en sistemas SCADA y/o BMS para control y monitorización de sistemas electromecánicos. Conocimientos en redes IP y experiencia en sistemas electromecánicos. Experiencia como programador/desarrollador en alguna de estas herramientas de Schneider Electric: PME (Power Monitoring Expert) PSO (Power SCA",Lima,Presencial
TÉCNICO DESARROLLADOR DE SISTEMAS,"Entidad pública se encuentra en la búsqueda de UN(1) TÉCNICO DESARROLLADOR DE SISTEMAS que cumpla con el siguiente perfil: El puesto tiene como misión desarrollar, implementar y mantener los programas informáticos requeridos, de acuerdo a los estándares establecidos para el desarrollo de programas, con la finalidad de atender los requerimientos de las áreas de la entidad. Requisitos: Egresado de carrera técnica superior completa (3 o 4 años) o egresado universitario en computación e informática, administración de redes y comunicaciones o carreras afines al cargo. Conocimiento técnico de herramientas de modelamiento, metodología para el desarrollo de software (ágiles o tradicionales), desarrollo de aplicaciones web (.NET, java, JavaScript, HTML, PHP) y móviles, manejadores de base de datos ",Chorrillos,Presencial
ANALISTA PROGRAMADOR SENIOR,"En ADEX, Gremio Empresarial Líder en las Exportaciones Peruanas nos encontramos en la búsqueda de un Analista Programador Senior: Objetivo: Analizar la necesidad de negocio e implementar nuevos sistemas de información, utilizando lenguajes de programación de los sistemas implementados en la organización o tecnologías de información a la vanguardia. Funciones: Analizar los procesos y requerimientos de las áreas para identificar problemáticas que se puedan presentar. Desarrolla aplicaciones bajo estándares de calidad y cumplimiento de metodología de desarrollo vigente. Elaborar manuales a manera de instructivos de los softwares implementados. Capacitar a los usuarios finales que usarán los softwares, sobre información y uso de los mismos. Brindar soporte a los sistemas de información impleme",San Borja,Híbrido
Programador en Oracle Developer,"Somos líderes en perforación minera y geotécnica en el Perú, con más de 45 años de experiencia acompañando a los grandes proyectos del país. Nuestro motor es la innovación, la seguridad y el compromiso con el medio ambiente, porque sabemos que cada perforación abre también nuevas oportunidades de desarrollo sostenible. Formar parte de nosotros significa integrarse a un equipo apasionado, que valora el talento, impulsa el crecimiento profesional y cree en el poder del trabajo en equipo. Si buscas un lugar donde tus ideas y esfuerzo generen impacto real en la industria y en tu carrera, ¡aquí es donde comienza tu siguiente desafío! Descripción del puesto: Programador en Oracle Developer Nuestro cliente, líder en perforación minera y geotécnica en Perú, se encuentra en la búsqueda de un Progra",Lima,Presencial
Analista Programador Java / Remoto / Planilla Completa,"Estimados por encargo de nuestro cliente importante empresa del rubro retail, estamos en búsqueda de: (1) Analista Programador Java Requisitos: Carreras universitarias y/o técnicas en Computación e Informática, Sistemas a fines. Con experiencia mínima de 3 años desarrollando. Indispensable experiencia conocimiento en JAVA Swing, SQL y Oracle. Funciones: Analizar, diseñar, desarrollar, probar e implementar las soluciones de software destinadas a atender los requerimientos o tareas de proyecto que le correspondan. Interactuar con las áreas usuarias para la solución de las tareas asignadas. Administrar y velar por la correcta documentación de los proyectos que le sean asignados. Realizar propuestas de valor que permitan disminuir la carga operativa, reducir los costos y mejorar los procesos c",Lima,Remoto
Fullstack Developer Senior (.NET/Angular),"ZUTUN. es una empresa de software boutique con amplia experiencia en banca, seguros, fintech y retail. Nuestro colectivo funciona como un verdadero equipo, valorando la colaboración, la sinergia y el apoyo mutuo entre nuestros miembros, reconociendo que el talento es el núcleo y el equipo es quien juega el partido. Te invitamos a participar de proceso SR. FULLSTACK DEVELOPER y ser parte de esta experiencia: RESPONSABILIDADES: Diseñar, desarrollar y mantener aplicaciones web full stack utilizando .NET C#, Angular y Node.js. .Implementar y consumir servicios web RESTful y SOA. Desplegar y configurar aplicaciones en IIS (on-premise) y servicios cloud (AWS/Azure). Participar en la remediación de vulnerabilidades de seguridad en aplicaciones. Configurar pipelines de CI/CD con GitHub Actions. Ad",Surco,Híbrido
Analista Programador Java Cloud Senior,"Importante empresa, del sector farmacéutico se encuentra en búsqueda del mejor talento para cubrir la posición: (1) Analista Programador Java Cloud Senior Requisitos: Técnico/Universitario egresado en Ingeniería de Sistemas, Informática o afines. 3 años de experiencia en desarrollo de software con Java 17, Java Script y programación React. Experiencia en angular y node js. De 1 a 3 años de experiencia en arquitectura de microservicios. Conocimiento avanzado de Base de Datos en Oracle (indispensable) Desarrollo en Angular y Java Spring Boot. Desarrollo en BD mongo Desarrollo en BD PostgreSQL (Deseable) Automatización de procesos con n8n (Deseable) Funciones: Desarrollar en Java y desarrollar microservicios. Beneficios: Planilla Completa de la Consultora General Remuneración: S/4000-S/ 4500 ",Lima,Remoto
Desarrollador Backend .NET,"More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Desarrollador Backend Pleno .NET con ganas de trabajar en nuestros equipos multidisciplinares. ¿Cuál es el reto que te proponemos? Estarás en contacto continuo con las novedades tecnológicas, impulsando la transformación digital. Participarás en proyectos y desarrollos que tienen una alta visibilidad y que marcan la diferencia con soluciones disruptivas y especializadas para toda la cadena de valor. ¿Qué esperamos por tu parte? Formación Académica: Bachiller en Ingeniería de sistemas o afines Experiencia: Conocimiento Técnico: Experiencia en Visual Basic 2005 ",Lima,Remoto
ANALISTA PROGRAMADOR DE TI,"Propósito: · Responsable del desarrollo y documentación de las nuevas implementaciones, mejoras y reportes en los sistemas de información de SOP, incluye interfases de comunicación, bases de datos e infraestructura, basadas en arquitecturas.Net (C#), X++, etc. (en entornos Windows /Web), JavaScript, de preferencia con conocimiento de reportes en PowerBI, conocimientos de PowerAPPs y su integración con base de datos MS-SQL, conexiones AZURE e integración con herramientas de Office 365. (Net Core 8, manejo a nivel intermedio de Azure – active directory, publicación de servicios web y devops. Educación: Profesional Técnico o Universitario en sistemas o carreras afines. Experiencia profesional mínima de 3 años. Habilidades Técnicas y Competencias: Manejo de Programas de Office a nivel avanzado",San Isidro,Presencial
Analista Programador Postgre/Oracle/Híbrido,"Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de: (1) Analista Programador Postgre/Oracle Requisitos Universitario de Ingeniería de Sistemas, Informática, o afines Experiencia de 3 años en puestos similares como mínimo Experiencia realizando labores de Analista de Sistemas Desarrollador Oracle (PL/SQL) nivel avanzado, store procedures, funciones, packages Desarrollador BD PostgreSQL nivel avanzado Experiencia realizando tuning de Base de Datos Conocimiento en Oracle Data Integrator (ODI) Experiencia en GCP, Cloud Composer, Cloud Storage, Cloud Functions, Data Funciton, Data low Modelamiento de Base de Datos Recomendable que haya realizado labores como Analista Fullstack Funciones: Diseñar, analizar y desarrollar soluciones en la",San Borja,Híbrido
Programador Python Junior,"CSTI Corp es una empresa peruana líder en la industria TI con más de 17 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos. Ofrecemos soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud. Estamos en busqueda de un Programador Python 📌Requisitos: ✅ Experiencia de 2 años programando con python ✅ Experiencia en base de datos: MySQL, SQL Server 🌴Modalidad de trabajo: Híbrido 3 dias presenciales y 2 remoto en San Isidro 🌴Horario de Lunes a Viernes. 🌴Te brindamos tus equipos corporativos.",Lima,Híbrido
.NET Developer- Junior,"Somos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow. Ofrecemos a nuestros clientes una combinación única de proximidad, organización sectorial y soluciones de calidad. Presente en más de 26 países, el Grupo tiene cerca de 27.000 colaboradores y apunta a continuar creciendo. ¡En Inetum acompañamos a nuestros clientes y colaboradores en su camino al éxito! Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de IT y de negocios: ¡Postula ahora! Actualmente nos encontramos en búsqueda de (01) .NET DEVELOPER para que se integren a nuestro equipo en un importante proyecto. ¿Qué esperamos de ti? P",San Isidro,Híbrido
Frontend Developer (REACT/JS/TS),"ZUTUN. es una empresa de software boutique con amplia experiencia en banca, seguros, fintech y retail. Nuestro colectivo funciona como un verdadero equipo, valorando la colaboración, la sinergia y el apoyo mutuo entre nuestros miembros, reconociendo que el talento es el núcleo y el equipo es quien juega el partido. Te invitamos a participar de proceso FRONTEND DEVELOPER REACT y ser parte de esta experiencia: REQUISITOS: Experiencia mínima de 3 años en JavaScript y 2 años en desarrollo web con React (Next.js, React Router u otros frameworks). Nivel intermedio en TypeScript. Conocimientos en pruebas unitarias. Manejo avanzado de CSS puro y librerías como Tailwind CSS. Experiencia con Git en entornos colaborativos. (Deseable) Experiencia en Node.js. (Deseable) Conocimientos en CI/CD e Infraes",Pueblo Libre,Híbrido
Mid Node AWS Engineer,"Información Importante Ubicación: Perú Modalidad de trabajo: Híbrido, asistencia a oficina en Miraflores 2-3 veces por semana Resumen del puesto Como un Mid Node AWS Developer (17274), formarás parte de un equipo tecnológico y ágil altamente calificado por respaldar y desarrollar soluciones de vanguardia para cumplir con los requisitos de nuestro negocio. Nos ayudará a acelerar los resultados empresariales de nuestros clientes mediante la innovación de productos digitales de vanguardia. Requisitos y Habilidades Profesionales de Sistemas, Informática, Desarrollo o afines con +4 años de experiencia como Node Developer. Experiencia trabajando en/con: Desarrollo Servicios Core AWS (EC2, S3, IAM, VPC, Cloudwatch, etc) Desarrollo Servicios AWS Serverless: Dynamo DB, Lambda, API Gateway, RDS, SQS",Miraflores,Híbrido
Analista de Programación RPG,"¡Somos Izipay! La red multimarca más grande del país, ¡estamos revolucionando el mercado de pagos! Con la meta de hacer crecer por x4 nuestro número de comercios atendidos, necesitamos reforzar nuestro equipo con personas como tú. ¡Ven a sumarte a este desafío como Analista de Programación ¿Cuáles serán tus responsabilidades? Diseñar, programar, probar e implementar soluciones que optimicen los procesos del área. Diagnosticar y corregir problemas en los sistemas existentes. Identificar oportunidades de mejora en las aplicaciones y procesos actuales. Generar y actualizar manuales, guías y diagramas de las soluciones implementadas. Colaborar con equipos multidisciplinarios. Requisitos: ¿Cómo saber que este puesto es para ti? Universitario egresado de Ingeniero de Sistemas y carreras afines. ",Miraflores,Híbrido
Desarrollador Backend,"More digital. More human. More Minsait. Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. Buscamos Desarrollador Backend Pleno con ganas de trabajar en nuestros equipos multidisciplinares. ¿Cuál es el reto que te proponemos? Estarás en contacto continuo con las novedades tecnológicas, impulsando la transformación digital. Participarás en proyectos y desarrollos que tienen una alta visibilidad y que marcan la diferencia con soluciones disruptivas y especializadas para toda la cadena de valor. ¿Qué esperamos por tu parte? Formación Académica: Bachiller en Ingeniería de sistemas o afines Experiencia: Conocimiento Técnico: Java 11 (Medio) Experiencia en Spring ",Lima,Remoto
"Programador RPA Rocketbot, UiPath","En Valtx, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura tecnológica para el negocio; y consultoría en diversos procesos de transformación, nos encontramos en la búsqueda de un Programador RPA Analizar y documentar procesos de negocio para identificar oportunidades de automatización en coordinación con las áreas usuarias. Diseñar soluciones de automatización en plataformas Rocketbot y UiPath, aplicando estándares de calidad y marcos de trabajo como REFramework. Desarrollar, probar e implementar bots que sean estables, escalables y seguros, garantizando",San Borja,Presencial
Soporte Jr y Sr de Plataforma BMC Helix Remedy,"Somos una empresa de Soluciones Digitales y Servicios de TI con 30 años de experiencia en el mercado. Contamos con más de 8 mil colaboradores en Latinoamérica, Estados Unidos y Europa. Te invitamos a ser parte de nuestro equipo ocupando el cargo de: Analista de Soporte Requisitos indispensables: Experiencia en soporte y seguimiento de incidentes y problemas Conocimiento en BMC Helix y herramientas relacionadas Capacidad para colaborar en la resolución y escalado de casos Beneficios: Pertenecer al grupo América Móvil. Sueldo en planilla 100% desde el primer día. EPS corporativa (opcional). Convenios corporativos. “Global Hitss mantiene una política de contratación inclusiva, por lo que invita a cualquier persona a participar en el proceso de selección en referencia”. ¡Te invitamos a revisar",La Victoria,Presencial
Desarrollador Backend,"Actualmente nos encontramos en búsqueda de 01 Desarrollado Backend para que se integre a nuestro equipo. Profesional en Ingeniería de Sistemas, Computación, Informática o carreras afines. Experiencia mínima de 4 a 5 años en desarrollo con Python, Node.js .Net Lenguajes: Python (3.x) , JavaScript/TypeScript (Node.js LTS) y C# .Net Frameworks: FastAPI o Flask; Express/NestJS. AWS: S3, Lambda, API Gateway/ALB, Step Functions o EventBridge, CloudWatch, IAM; deseable ECS/Fargate o AWS Batch. Datos: Formato Parquet (particionamiento, compresión), DynamoDB (modelado single-table, GSIs, TTL), MongoDB (pipelines de agregación, índices compuestos), Elasticsearch (index templates, mappings, queries, bulk ingestion). Mensajería/eventos: SQS/SNS o Kafka (básico). Testing & calidad: PyTest/Jest, linters",El Agustino,Presencial
Desarrollador Fullstack Java,"¡En Hitss, empresa de tecnología con más de 36 años de experiencia ofreciendo soluciones innovadoras en América Latina, USA y EUROPA, nos encontramos en la búsqueda de nuestro próximo ANALISTA PROGRAMADOR JAVA/ANGULAR! REQUISITOS: Bachiller o titulado de Ingeniería de Sistemas, Informática, o carreras afines. SKILSS TÉCNICOS: Experiencia de 3+ años en Java 7 o superior usando frameworks Angular versión 8 o superior (intermedio/avanzado). Spring (intermedio/avanzado), Hibernate (Intermedio),Primefaces (Intermedio). Experiencia en entorno Azure (Servicios en la nube y despliegue). Desarrollo de Webservices REST y SOAP (intermedio). Microservicios (Spring webflux que va de la mano con microservicios). Experiencia en Oracle PLSQL (intermedio). Inglès a nivel intermedio (B1 como mínimo).",La Victoria,Remoto
Programador ABAP / Preencial,"En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Programador ABAP para el sector de consumo masivo para la ciudad del Callao. Requisitos: Profesional de ingeniería de sistemas o afines. Experiencia de 3 años con: Programación ABAP Experiencia con SAP ERP y/o SAP Hana Certificado en ABAP o BTP Funciones Desarrollar y mantener aplicaciones ABAP en el entorno SAP, implementando integraciones entre sistemas SAP y aplicaciones externas. Optimizar el rendimiento y la escalabilidad de soluciones ABAP, así como crear aplicaciones personalizadas y extensiones en SAP Proporcionar soporte técnico y mantenimiento de soluciones ABAP, elaborando la documentación técnic",Callao,Presencial
Desarrollador Fullstack (Java/Js) - Remoto,"Protiviti Perú se encuentra en la búsqueda de un Desarrollador Fullstack especializado en microservicios para un cliente del sector retail farmacéutico. Responsabilidades clave: Desarrollar aplicaciones basadas en microservicios utilizando Java (Hibernate y Spring Boot) y Angular. Implementar soluciones siguiendo arquitectura hexagonal para garantizar modularidad y mantenibilidad. Diseñar, desarrollar y consumir APIs RESTful/APIs REST JSON para integrar los microservicios. Trabajar con bases de datos Oracle, MySQL y SQL, optimizando consultas y rendimiento. Colaborar con equipos de QA y DevOps para automatizar pruebas, despliegues y monitoreo de aplicaciones. Realizar revisiones de código y asegurar la calidad y eficiencia de los servicios. Documentar componentes y servicios desarrollados.",Lima,Remoto
Analista Programador,"REQUISITOS: ü Profesional bachiller o egresado de Ingeniería de sistema,Informática ü con amplio compromiso responsabilidad ü Edad 26 - 40 años EXPERIENCIA LABORAL: ü Contar con 3 años como mínimo Analista Programador de sistemas informáticos en .NET y JAVA (desarrollador) ü Experiencia en desarrollo Front End con sólidas habilidades en JavaScript, ü Haber laborado en empresas de rubro industriales y Servicios Hospitalarios.( clínicas , MINSA), ü Conocimientos Funcional de ERP : SAP , Spring. ü Conocimiento de Innovación tecnológica servicios médicos. FUNCIONES: ü Desarrollar y realizar mantenimiento a los Sistemas de la organización corporativa ü Manejo de BD SQL, ( Intermedio/ Avanzado) ü Realizar mejoras y ser participe en los proyectos del cambio del ERP ü Crear, dar mantenimiento y ac",Lima,Presencial
